Age, Spending score(0-100), kClass
19,39,1
21,81,3
20,6,4
23,77,3
31,40,1
22,76,3
35,6,4
23,94,2
64,3,4
30,72,3
67,14,4
35,99,2
58,15,4
24,77,3
37,13,4
22,79,3
35,35,1
20,66,3
52,29,4
35,98,2
35,35,1
25,73,3
46,5,4
31,73,3
54,14,4
29,82,2
45,32,4
35,61,3
40,31,4
23,87,2
60,4,4
21,73,3
53,4,4
18,92,2
49,14,4
21,81,3
42,17,4
30,73,3
36,26,4
20,75,3
65,35,5
24,92,2
48,36,5
31,61,3
49,28,4
24,65,3
50,55,5
27,47,1
29,42,1
31,42,1
49,52,5
33,60,3
31,54,1
59,60,5
50,45,5
47,41,5
51,50,5
69,46,5
27,51,1
53,46,5
70,56,5
19,55,1
67,52,5
54,59,5
63,51,5
18,59,1
43,50,5
68,48,5
19,59,1
32,47,1
70,55,5
47,42,5
60,49,5
60,56,5
59,47,5
26,54,1
45,53,5
40,48,1
23,52,1
49,42,5
57,51,5
38,55,1
67,41,5
46,44,5
21,57,1
48,46,5
55,58,5
22,55,1
34,60,3
50,46,5
68,55,5
18,41,1
48,49,5
40,40,1
32,42,1
24,52,1
47,47,5
27,50,1
48,42,5
20,49,1
23,41,1
49,48,5
67,59,5
26,55,1
49,56,5
21,42,1
66,50,5
54,46,5
68,43,5
66,48,5
65,52,5
19,54,1
38,42,1
19,46,1
18,48,1
19,50,1
63,43,5
49,59,5
51,43,5
50,57,5
27,56,1
38,40,1
40,58,1
39,91,2
23,29,1
31,77,3
43,35,5
40,95,2
59,11,4
38,75,3
47,9,4
39,75,3
25,34,1
31,71,3
20,5,4
29,88,2
44,7,4
32,73,3
19,10,4
35,72,3
57,5,4
32,93,2
28,40,1
32,87,2
25,12,4
28,97,2
48,36,5
32,74,3
34,22,4
34,90,2
43,17,4
39,88,2
44,20,4
38,76,3
47,16,4
27,89,2
37,1,4
30,78,3
34,1,4
30,73,3
56,35,5
29,83,2
19,5,4
31,93,2
50,26,4
36,75,3
42,20,4
33,95,2
36,27,4
32,63,3
40,13,4
28,75,3
36,10,4
36,92,2
52,13,4
30,86,2
58,15,4
27,69,3
59,14,4
35,90,2
37,32,1
32,86,2
46,15,4
29,88,2
41,39,1
30,97,2
54,24,4
28,68,3
41,17,4
36,85,2
34,23,4
32,69,3
33,8,4
38,91,2
47,16,4
35,79,3
45,28,4
32,74,3
32,18,4
30,83,2
